 25W12-SB_1212YHQ1340_CAD        Tebo-ICT,  license #WIWYNN

 Test Fixture Nails     465/465  Selected Drills           16-December-2025 18:20
                        465 Nails,  1819 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via

$1        2.4303    4.3900   5  AA   (T)  #798  FM_PVDDIO_MEM_S3_EN T PIN TB_TP103.1
$2        2.1120    4.1910   5  AA   (T)  #1017 PVDDIO_MEM_S3_R_PG T PIN TB_TP314.1
$3        2.0950    4.3672   5  AA   (T)  #805  PWRGD_PVDDIO_MEM_S3 T PIN TB_TP133.1
$4        1.9130    4.3810   5  AA   (T)  #644  AGND_PVDDIO_MEM_S3 T PIN TB_TP498.1
$5        1.4122    4.1094   5  AA   (T)  #485  DP_STEREOSYNC    T PIN TB_TP477.1
$6        1.3947    4.2219   5  AA   (T)  #585  TEST47_1         T PIN TP47.1
$7        1.3460    4.2060   5  AA   (T)  #345  PU_USBC_I2C_SDA  T PIN TB_TP237.1
$8        1.3050    4.1400   5  AA   (T)  #346  TP_RSVD_1        T PIN TP15.1
$9        1.2350    4.1450   5  AA   (T)  #503  TP_RSVD_6        T PIN TP20.1
$10       1.1800    4.1450   5  AA   (T)  #500  TP_RSVD_5        T PIN TP19.1
$11       1.1884    4.2240   5  AA   (T)  #457  PU_USBC_I2C_SCL  T PIN TB_TP238.1
$12       1.2300    4.2000   5  AA   (T)  #471  TP_RSVD_3        T PIN TP17.1
$13       1.2650    4.2400   5  AA   (T)  #458  TP_RSVD_2        T PIN TP16.1
$14       1.2650    4.3300   5  AA   (T)  #489  TP_USBC0_SBTX    T PIN TP94.1
$15       1.2100    4.3300   5  AA   (T)  #488  TP_USBC0_SBRX    T PIN TP93.1
$16       1.1580    4.3328   5  AA   (T)  #487  TP_USBC1_SBRX    T PIN TP95.1
$17       1.1050    4.3300   5  AA   (T)  #486  TP_USBC1_SBTX    T PIN TP96.1
$18       1.1000    4.2200   5  AA   (T)  #483  TP_RSVD_4        T PIN TP18.1
$19       0.9467    4.0030   5  AA   (T)  #470  CPU_SVT_R        T PIN TB_TP201.1
$20       0.9115    3.9280   5  AA   (T)  #459  CPU_SVC_R        T PIN TB_TP204.1
$21       0.9490    3.8530   5  AA   (T)  #484  CPU_SVD_R        T PIN TB_TP202.1
$22       0.9614    3.8054   5  AA   (T)  #1188 CPU_SVD          T PIN TB_TP203.1
$23       0.8821    3.8316   5  AA   (T)  #1189 CPU_SVC          T PIN TB_TP205.1
$24       0.8250    3.8520   5  AA   (T)  #1187 CPU_SVTO         T PIN TB_TP166.1
$25       0.1460    3.8020   5  AA   (T)  #530  P1V8_AUDIO       T PIN TB_TP367.1
$26       0.6430    2.9450   5  AA   (T)  #381  PD_CLK_REQ0_N    T PIN TB_TP65.1
$27       0.6810    2.9050   5  AA   (T)  #403  PD_CLK_REQ4_N    T PIN TB_TP62.1
$28       0.6480    2.8700   5  AA   (T)  #425  PD_CLK_REQ3_N    T PIN TB_TP63.1
$29       0.6150    2.8350   5  AA   (T)  #404  PD_CLK_REQ2_N    T PIN TB_TP64.1
$30       0.6503    2.7945   5  AA   (T)  #283  TP_SPI_ROM_GNT   T PIN TP106.1
$31       0.8805    2.5280   5  AA   (T)  #984  X48M_OSC_RSVD_R  T PIN TB_TP81.1
$32       0.9840    2.5280   5  AA   (T)  #359  X48M_OSC_RSVD    T PIN TB_TP82.1
$33       1.0323    2.3487   5  AA   (T)  #82   RST_RTCRST_N     T PIN TB_TP300.1
$34       1.1050    2.3650   5  AA   (T)  #396  CPU_I2C3_P1V8_STBY_R_SCL T PIN TB_TP213.1
$35       1.1500    2.3400   5  AA   (T)  #418  CPU_I2C3_P1V8_STBY_R_SDA T PIN TB_TP212.1
$36       1.2650    2.3400   5  AA   (T)  #284  PD_SPI_ROM_REQ   T PIN TB_TP72.1
$37       1.2600    2.2450   5  AA   (T)  #696  FM_P3V3_R_EN     T PIN TB_TP194.1
$38       1.1431    2.1868   5  AA   (T)  #791  PWRGD_P1V8       T PIN TB_TP236.1
$39       1.0193    2.0850   5  AA   (T)  #13   CPU_I2C3_P1V8_STBY_SDA T PIN TB_TP210.1
$40       0.9980    2.0370   5  AA   (T)  #14   CPU_I2C3_P1V8_STBY_SCL T PIN TB_TP211.1
$41       1.2511    1.9162   5  AA   (T)  #793  FM_P1V8_EN       T PIN TB_TP156.1
$42       1.5200    1.9350   5  AA   (T)  #327  FM_CPU_PWRGD     T PIN TB_TP160.1
$43       1.6199    1.9400   5  AA   (T)  #861  BATLOW_LVC18_N   T PIN TB_TP55.1
$44       1.6679    1.9406   5  AA   (T)  #328  BATLOW_LVC18_R_N T PIN TB_TP54.1
$45       1.7142    1.9531   5  AA   (T)  #364  FAST_THROTTLE_LVC18_R_N T PIN TB_TP52.1
$46       1.5799    1.9684   5  AA   (T)  #876  MPM_EVENT_N      T PIN TB_TP246.1
$47       1.5560    2.0100   5  AA   (T)  #735  RST_CPU_SYSRST_N T PIN TB_TP234.1
$48       1.4730    2.0500   5  AA   (T)  #886  PCIE_RST0_R_N    T PIN TB_TP244.1
$49       1.4550    2.0000   5  AA   (T)  #1002 JTAG_HDT_R_TMS   T PIN TB_TP392.1
$50       1.3769    2.0701   5  AA   (T)  #1001 JTAG_HDT_R_TCK   T PIN TB_TP394.1
$51       1.3600    2.1150   5  AA   (T)  #1000 JTAG_HDT_R_TDI   T PIN TB_TP393.1
$52       1.4600    2.2850   5  AA   (T)  #375  PCIE_RST0_N      T PIN TB_TP245.1
$53       1.3864    2.3511   5  AA   (T)  #419  SLP_S3_N         T PIN TB_TP233.1
$54       1.4460    2.3490   5  AA   (T)  #397  SLP_S5_N         T PIN TB_TP232.1
$55       1.4928    2.3724   5  AA   (T)  #305  FM_BIOS_POST_CMPLT_N T PIN TB_TP473.1
$56       1.5441    2.3623   5  AA   (T)  #377  CPU_WAKE0_N      T PIN TB_TP165.1
$57       1.5360    2.3150   5  AA   (T)  #376  AGPIO10          T PIN TB_TP256.1
$58       1.5050    2.2647   5  AA   (T)  #438  RST_CPU_SYSRST_N_R T PIN TB_TP67.1
$59       1.5762    2.2736   5  AA   (T)  #871  CPU_VRM_HOT_N    T PIN TB_TP198.1
$60       1.6450    2.2390   5  AA   (T)  #421  PU_AGPIO4        T PIN TB_TP242.1
$61       1.6530    2.2980   5  AA   (T)  #440  PU_AGPIO11       T PIN TB_TP243.1
$62       1.7020    2.2920   5  AA   (T)  #441  AGPIO130         T PIN TB_TP497.1
$63       1.7505    2.2795   5  AA   (T)  #378  KBRST_N          T PIN TB_TP248.1
$64       1.7080    2.2290   5  AA   (T)  #399  RSVD1_LVC18_CPU_R_N T PIN TB_TP48.1
$65       1.7280    2.0460   5  AA   (T)  #860  RSVD1_LVC18_CPU_N T PIN TB_TP49.1
$66       1.8200    2.0400   5  AA   (T)  #865  KBRST_R_N        T PIN TB_TP247.1
$67       1.9400    1.9700   5  AA   (T)  #874  RSMRST_N_R       T PIN TB_TP68.1
$68       1.9915    2.0430   5  AA   (T)  #286  RSMRST_N         T PIN TB_TP235.1
$69       2.1160    2.3341   5  AA   (T)  #424  PU_SPI_CS2_N     T PIN TB_TP239.1
$70       2.1624    2.3476   5  AA   (T)  #382  CPU_I2C1_P1V8_R_SCL T PIN TB_TP217.1
$71       2.2100    2.3550   5  AA   (T)  #405  CPU_I2C1_P1V8_R_SDA T PIN TB_TP216.1
$72       2.2567    2.3665   5  AA   (T)  #444  CPU_I2C0_P1V8_R_SCL T PIN TB_TP42.1
$73       2.3003    2.3465   5  AA   (T)  #427  CPU_I2C0_P1V8_R_SDA T PIN TB_TP41.1
$74       2.3700    2.3000   5  AA   (T)  #406  CPU_PWROK_R      T PIN TB_TP125.1
$75       2.4000    2.3540   5  AA   (T)  #445  SMB_CPU_MUX_P1V8_R_SDA T PIN TB_TP131.1
$76       2.4480    2.3550   5  AA   (T)  #428  SMB_CPU_MUX_P1V8_R_SCL T PIN TB_TP132.1
$77       2.6250    2.2763   5  AA   (T)  #383  JTAG_HDT_DBREQ_N T PIN TB_TP395.1
$78       2.5970    1.8794   5  AA   (T)  #1186 CPU_SVTI         T PIN TB_TP167.1
$79       2.7801    2.0450   5  AA   (T)  #21   CPU_I2C1_P1V8_SDA T PIN TB_TP214.1
$80       2.8100    1.9999   5  AA   (T)  #20   CPU_I2C1_P1V8_SCL T PIN TB_TP215.1
$81       2.9300    1.7935   5  AA   (T)  #1142 PVDDCR_SOC_SVTO_R T PIN TB_TP175.1
$82       2.9774    1.7859   5  AA   (T)  #1141 PVDDCR_SOC_SVC_R T PIN TB_TP177.1
$83       3.0174    1.7564   5  AA   (T)  #1140 PVDDCR_SOC_SVD_R T PIN TB_TP176.1
$84       3.0492    1.7925   5  AA   (T)  #1139 PVDDCR_PVDDCRSOC_PG2_R T PIN TB_TP143.1
$85       3.1110    1.8870   5  AA   (T)  #774  CPU_PWROK        T PIN TB_TP126.1
$86       3.1530    1.9990   5  AA   (T)  #1166 SMB_CPU_MUX_P1V8_SDA T PIN TB_TP129.1
$87       3.2590    2.0110   5  AA   (T)  #1167 SMB_CPU_MUX_P1V8_SCL T PIN TB_TP130.1
$88       3.2850    1.9550   5  AA   (T)  #850  PWRGD_PVDDCR_SOC T PIN TB_TP174.1
$89       3.2247    1.9096   5  AA   (T)  #846  FM_PVDDCR_EN     T PIN TB_TP155.1
$90       3.1790    1.8950   5  AA   (T)  #1138 PVDDCR_PVDDCRSOC_PWROK_R T PIN TB_TP142.1
$91       3.1905    1.7385   5  AA   (T)  #1136 PVDDCR_PVDDCRSOC_PG1_R T PIN TB_TP144.1
$92       3.2260    1.7028   5  AA   (T)  #1134 PVDDCR_PVDDCRSOC_SCL_R T PIN TB_TP141.1
$93       3.3034    1.6286   5  AA   (T)  #1168 SMB_PMBUS_STBY_LVC3_SDA T PIN TB_TP286.1
$94       3.3060    1.5792   5  AA   (T)  #1169 SMB_PMBUS_STBY_LVC3_SCL T PIN TB_TP288.1
$95       3.2574    1.4969   5  AA   (T)  #1160 PVDDCR_PVDDCRSOC_VD18 T PIN TB_TP59.1
$96       3.2208    1.4658   5  AA   (T)  #1159 PVDDCR_PVDDCRSOC_VDD33 T PIN TB_TP58.1
$97       3.1690    1.4610   5  AA   (T)  #1158 PVDDCR_PVDDCRSOC_VINSEN T PIN TB_TP140.1
$98       4.0040    1.1550   5  AA   (T)  #815  PWRGD_PCH_PWROK  T PIN TB_TP303.1
$99       4.0360    1.1050   5  AA   (T)  #799  IRQ_SML1_ALERT_PLD_N T PIN TB_TP403.1
$100      4.1080    1.1140   5  AA   (T)  #781  FM_CPU_PROCHOT_LATCH_LVT3_N T PIN TB_TP161.1
$101      4.2100    1.1035   5  AA   (T)  #823  P1V8_AUXA_CPLD   T PIN TB_TP171.1
$102      4.3245    1.1036   5  AA   (T)  #825  P1V8_AUX_CPLD    T PIN TB_TP172.1
$103      4.4105    1.1019   5  AA   (T)  #789  FM_NAC_EN        T PIN TB_TP157.1
$104      4.4685    1.1171   5  AA   (T)  #803  FM_BOARD_REV_ID4 T PIN TB_TP162.1
$105      4.6640    1.1691   5  AA   (T)  #1235 CLK_25M_CPLD_R   T PIN TB_TP484.1
$106      4.6700    1.1170   5  AA   (T)  #795  CLK_25M_CPLD     T PIN TB_TP485.1
$107      4.6780    1.0510   5  AA   (T)  #705  UART_NCT5214D_R_RX T PIN TB_TP76.1
$108      4.7450    0.9000   5  AA   (T)  #814  FM_CPU_PWRBTN_CPLD_N T PIN TB_TP12.1
$109      4.9070    0.9150   5  AA   (T)  #669  STRAP_2E_4E_SEL  T PIN TB_TP78.1
$110      5.0478    0.9150   5  AA   (T)  #672  PAD_CAP          T PIN TB_TP79.1
$111      5.1089    0.5289   5  AA   (T)  #745  OUTLET_TMP75_A2  T PIN TB_TP375.1
$112      5.0270    0.1040   5  AA   (T)  #782  IRQ_SML1_ALERT_N T PIN TB_TP404.1
$113      5.0050    0.2250   5  AA   (T)  #942  TP_JTAG_CONN_5   T PIN TP59.1
$114      4.9650    0.2550   5  AA   (T)  #943  TP_JTAG_TRST_N   T PIN TP58.1
$115      5.0287    0.4563   5  AA   (T)  #1389 P3V3_STBY_CPLD_JTAG T PIN TB_TP80.1
$116      5.0000    0.5290   5  AA   (T)  #746  OUTLET_TMP75_A1  T PIN TB_TP376.1
$117      4.9471    0.5201   5  AA   (T)  #747  OUTLET_TMP75_A0  T PIN TB_TP377.1
$118      4.9037    0.5435   5  AA   (T)  #950  LED_POSTCODE_4   T PIN TB_TP379.1
