 25W12-SB_1212YHQ1340_CAD        Tebo-ICT,  license #WIWYNN

 Parts List              1709/1709  Selected Parts             16-December-2025 18:20
                                                           INCH units

Part             X         Y     Rot  Grid  T/B  'Device', 'Outline'

PR43          1.8300    4.4200  270.0  AA   (B)  'R603T0D1H24_B', 'R603T0D1H24_B'
PR44          2.2600    4.4500  180.0  AA   (B)  'R402T0D05H16_B', 'R402T0D05H16_B'
PR45          1.4650    4.2950  180.0  AA   (T)  'R402T0D05-A01H16', 'R402T0D05-A01H16'
PR46          2.0400    4.3400  270.0  AA   (T)  'R402T0D05-A01H16', 'R402T0D05-A01H16'
PR47          1.9450    4.1600   90.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR48          1.5000    4.2950  180.0  AA   (T)  'R402T0D05-A01H16', 'R402T0D05-A01H16'
PR49          2.0950    4.4200    0.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR50          2.0650    4.4200    0.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR51          2.1550    4.4500    0.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR52          2.3500    4.4700  270.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR53          1.9450    4.4400   90.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR54          1.9450    4.4100  270.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR55          2.3100    4.4350  270.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR56          2.2250    4.4500    0.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR57          4.6100    3.5450  270.0  AA   (B)  'R603T0D1H24_B', 'R603T0D1H24_B'
PR58          4.9900    3.6400  180.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR59          4.9600    3.6400  180.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR60          4.9750    3.5700   90.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR61          4.7600    3.2100    0.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR62          4.8900    3.5700    0.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR63          4.9100    3.5200   90.0  AA   (B)  'R402T0D05H16_B', 'R402T0D05H16_B'
PR64          4.9100    3.6550  270.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR65          5.0300    3.5400  180.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR66          4.8150    3.5700  180.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR67          4.7800    3.5350    0.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR68          4.7450    3.5350    0.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR69          4.7350    2.2600  270.0  AA   (B)  'R603T0D1H24_B', 'R603T0D1H24_B'
PR70          4.9800    2.1450    0.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR71          4.9450    2.1450    0.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR72          4.8850    2.5400  180.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR73          4.9600    2.2300   90.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR74          4.8070    2.5030    0.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR75          4.9850    2.2650   90.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR76          4.8750    2.2150  180.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR77          4.8950    2.1300  270.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR78          4.8000    2.2450    0.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR79          4.8900    2.2650  270.0  AA   (B)  'R402T0D05H16_B', 'R402T0D05H16_B'
PR80          5.0400    2.2250    0.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR82          4.7450    3.8700  270.0  AA   (B)  'R603T0D1H24_B', 'R603T0D1H24_B'
PR83          5.0200    3.8200  270.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR84          4.9700    3.8050    0.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR85          4.8600    4.1350  270.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
PR86          4.9900    3.8850   90.0  AA   (B)  'R402T0D05-A01H16_B', 'R402T0D05-A01H16_B'
