 25W12-SB_1216WYHQ1400_cad        Tebo-ICT,  license #WIWYNN

 Test Fixture Nails     480/480  Selected Drills           16-December-2025 18:17
                        480 Nails,  1829 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via

$1        2.4303    4.3900   1  AA   (T)  #803  FM_PVDDIO_MEM_S3_EN T PIN TB_TP109.1
$2        2.1120    4.1910   1  AA   (T)  #1027 PVDDIO_MEM_S3_R_PG T PIN TB_TP324.1
$3        2.0950    4.3672   1  AA   (T)  #810  PWRGD_PVDDIO_MEM_S3 T PIN TB_TP141.1
$4        1.9130    4.3810   1  AA   (T)  #650  AGND_PVDDIO_MEM_S3 T PIN TB_TP514.1
$5        1.4122    4.1094   1  AA   (T)  #491  DP_STEREOSYNC    T PIN TB_TP493.1
$6        1.3947    4.2219   3  AA   (T)  #591  TEST47_1         T PIN TP47.1
$7        1.3460    4.2060   3  AA   (T)  #351  PU_USBC_I2C_SDA  T PIN TB_TP248.1
$8        1.3050    4.1400   2  AA   (T)  #352  TP_RSVD_1        T PIN TP15.1
$9        1.2350    4.1450   3  AA   (T)  #509  TP_RSVD_6        T PIN TP20.1
$10       1.1800    4.1450   3  AA   (T)  #506  TP_RSVD_5        T PIN TP19.1
$11       1.1884    4.2240   3  AA   (T)  #463  PU_USBC_I2C_SCL  T PIN TB_TP249.1
$12       1.2300    4.2000   3  AA   (T)  #477  TP_RSVD_3        T PIN TP17.1
$13       1.2650    4.2400   3  AA   (T)  #464  TP_RSVD_2        T PIN TP16.1
$14       1.2650    4.3300   3  AA   (T)  #495  TP_USBC0_SBTX    T PIN TP94.1
$15       1.2100    4.3300   3  AA   (T)  #494  TP_USBC0_SBRX    T PIN TP93.1
$16       1.1580    4.3328   3  AA   (T)  #493  TP_USBC1_SBRX    T PIN TP95.1
$17       1.1050    4.3300   3  AA   (T)  #492  TP_USBC1_SBTX    T PIN TP96.1
$18       1.1000    4.2200   1  AA   (T)  #489  TP_RSVD_4        T PIN TP18.1
$19       0.9467    4.0030   1  AA   (T)  #476  CPU_SVT_R        T PIN TB_TP211.1
$20       0.9115    3.9280   1  AA   (T)  #465  CPU_SVC_R        T PIN TB_TP214.1
